Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Acacia boormanii,,protect in coastline sites,fast growing dense screen suckers new shoots from roots,Snowy River Wattle,tolerates wet sites,usually moisture reliant,bright yellow balls in winter & spring,very frost & snow hardy,,,2.5,part shade to full sun,,light clay to sandy soils,,W,3.0,wind resistant,"Known for its fast growing dense screen suckers new shoots from roots, Snowy River Wattle makes an excellent addition to any garden. fast growing dense screen suckers new shoots from roots. It showcases bright yellow balls in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia cardiophylla,,protect in coastline sites,lovely soft foliage maybe used for cut foliage,Wyalong Wattle,good drainage,drought tolerant,golden yellow ball flowers spring & summer,frost hardy,,,2.25,prefers full sun,,light clay to sandy soils,,,2.0,some wind protection,"Wyalong Wattle (Acacia cardiophylla) is recognized for lovely soft foliage maybe used for cut foliage. It showcases golden yellow ball flowers spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 2.25 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia dealbata,,protect in coastline sites,fast growing timber tree - pink wood used for revegatation work,Silver Wattle,good drainage,usually moisture reliant,bright yellow ball flowers in spring,very frost & snow hardy,,,18.0,part shade to full sun,,heavy clay or peat soils,T,,8.0,some wind protection,"Silver Wattle (Acacia dealbata) is recognized for fast growing timber tree - pink wood used for revegatation work. It showcases bright yellow ball flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 18.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia drummondii,,protect in coastline sites,bipinnate foliage - fast growth,Drummond Wattle,good drainage,drought tolerant,golden yellow spikes in late spring,frost hardy,,,1.15,part shade to full sun,,prefers sandy soils,,,2.0,protect from strong winds,"Known for its bipinnate foliage - fast growth, Drummond Wattle makes an excellent addition to any garden. bipinnate foliage - fast growth. It showcases golden yellow spikes in late spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.15 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia genistifolia,,moderate coastal exposure,prickly foliage used for revegatation work,,good drainage,drought tolerant,small yellow ball flower in early spring,frost hardy,,,0.65,part shade to full sun,,light clay to sandy soils,T,,2.0,wind resistant,"Acacia genistifolia is a remarkable plant admired for prickly foliage used for revegatation work. It showcases small yellow ball flower in early spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.65 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Kennedia beckxiana,,mild coastal sites,trailing groundcover for retainer wall light climber - prune after flowering,,very good drainage,drought tolerant,red pea flowers spring & summer,light frosts only,G,,1.0,prefers full sun,,prefers sandy soils,,,3.0,some wind protection,"Kennedia beckxiana (Kennedia beckxiana) is recognized for trailing groundcover for retainer wall light climber - prune after flowering. It showcases red pea flowers spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia mearnsii,,mild coastal sites,fast growing tree - hot firewood used for revegatation work,Black Wattle,good drainage,usually tolerates dry periods,pale yellow ball flowers in spring,very frost hardy,,,9.0,prefers full sun,,light clay to sandy soils,T,,5.0,some wind protection,"Black Wattle is a remarkable plant admired for fast growing tree - hot firewood used for revegatation work. It showcases pale yellow ball flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 9.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia melanoxylon,,moderate coastal exposure,solid windbreak or avenue feature durable timber - used for revegatation,Blackwood,tolerates wet sites,usually moisture reliant,pale yellow ball flowers in spring,very frost hardy,,H,25.0,dappled shade,D,heavy clay or peat soils,T,W,8.0,very wind resistant,"Blackwood (Acacia melanoxylon) is recognized for solid windbreak or avenue feature durable timber - used for revegatation. It showcases pale yellow ball flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 25.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia mucronata,,mild coastal sites,poor soils - shrub in alpine sites good revegatation plant,Native Willow,very good drainage,drought tolerant,cream to yellow spikes in spring,very frost & snow hardy,,,4.0,prefers full sun,,prefers sandy soils,T,,4.0,wind resistant,"Acacia mucronata is well-regarded for poor soils - shrub in alpine sites good revegatation plant. It showcases cream to yellow spikes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both very frost & snow hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Acacia myrtifolia,C,moderate coastal exposure,fast gowing screen plant - must prune grows well in very poor soils,Myrtle Wattle,very good drainage,usually tolerates dry periods,yellow ball flowers in spring,frost hardy,,,1.75,part shade to full sun,,light clay to sandy soils,T,,3.0,protect from strong winds,"Myrtle Wattle (Acacia myrtifolia) is recognized for fast gowing screen plant - must prune grows well in very poor soils. It showcases yellow ball flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.75 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
